"","x"
"1",99.7182598410947
"2",97.2340106600145
"3",100.207373294966
"4",100.643827636181
"5",99.7673009737931
"6",98.7516030093564
"7",95.6184849890371
"8",95.2756602066631
"9",95.7023307345431
"10",95.6091466441545
"11",100.455500746214
"12",100.495705154751
"13",102.181699500651
"14",101.9891238209
"15",102.868388144963
"16",98.5800560545904
"17",99.4732380983162
"18",100.187613742447
"19",102.772799381437
"20",98.1825534378211
"21",97.4936839649439
"22",100.911101291067
"23",99.6449246679927
"24",100.311392474295
"25",97.4688193607467
"26",99.6211162167146
"27",97.0234053192177
"28",97.0260106652856
"29",95.5101674255962
"30",97.4642029871212
"31",102.942869928908
"32",103.037476478614
"33",102.37872398032
"34",103.168204700307
"35",101.161493205373
"36",96.2909941274304
"37",97.9106782493732
"38",100.076851467286
"39",101.669355742034
"40",98.6244539912548
"41",99.2389200584357
"42",100.143615709178
"43",96.9190072953139
"44",95.6288506707985
"45",97.9400113604972
"46",98.8893224298236
"47",95.1106072567652
"48",98.3254852257084
"49",100.745139918458
"50",100.287746892586
"51",99.5766740033649
"52",98.7734820278873
"53",103.02778020178
"54",102.217355907964
"55",101.591256642972
"56",102.235083119367
"57",102.664929637118
"58",98.9961685388133
"59",101.346700434616
"60",99.8772512076882
"61",97.9429749090685
"62",101.243846082573
"63",102.790725605235
"64",103.848323123881
"65",101.281455595894
"66",97.9033412780405
"67",95.8170602697188
"68",96.8968560526183
"69",97.0799020665567
"70",100.734044356126
"71",99.8851105336873
"72",99.8283007183322
"73",102.224957578564
"74",100.030643958041
"75",101.405177669543
"76",100.057507070559
"77",100.849306521576
"78",96.7143384978882
"79",100.066620499691
"80",100.333485661877
"81",99.4649169577721
"82",101.556246714938
"83",98.3439545941592
"84",99.3767664911198
"85",96.8352040636234
"86",97.6577777230959
"87",101.27515048519
"88",100.120308323194
"89",101.903272813328
"90",102.483066995569
"91",104.545286246182
"92",102.261316413352
"93",99.2802356629953
"94",101.89632677353
"95",99.0198892480011
"96",101.727906783462
"97",100.341048179256
"98",100.051379943005
"99",99.2871070133007
"100",100.059387490917
"101",96.3471287637332
"102",98.6333523576062
"103",96.7970541354042
"104",96.5876046980303
"105",101.652432877915
"106",95.2559692470569
"107",98.4043032405236
"108",101.623890129251
"109",97.7236269130623
