"","x"
"1",-0.512139087720818
"2",2.22911413396617
"3",2.1223832172114
"4",1.35400618092286
"5",0.468043729327143
"6",2.09211425447293
"7",0.980030722138918
"8",0.327250409381789
"9",-0.0362354752147285
"10",0.282443996377145
"11",-0.622685284337224
"12",-0.229380738360686
"13",0.52591008835826
"14",0.624755677097192
"15",-0.0560400345686162
"16",-0.679372412369619
"17",0.615484918208944
"18",2.72910749764527
"19",2.49711090586642
"20",-0.30172933681463
"21",-0.733168352630211
"22",-0.314068465942523
"23",-0.957683893073102
"24",-1.57434636949218
"25",-1.22527173473926
"26",0.0684597984459495
"27",0.275859609312335
"28",-0.899759352543597
"29",0.497608663571737
"30",-0.765653921001365
"31",0.654589224070076
"32",-1.00140514212025
"33",-0.00681641378687581
"34",-0.601983718310721
"35",-1.51217145470508
"36",-1.87883650764444
"37",-1.12764737625506
"38",0.400079675109888
"39",-0.871551740057857
"40",-0.816896035210179
"41",-0.537422138086386
"42",0.136874407070554
"43",0.948100481823239
"44",2.19197358178447
"45",2.10183131995616
"46",4.18386831629605
"47",1.62775185337615
"48",0.771864170782319
"49",-1.01827036539987
"50",0.648485083290411
"51",-0.846248749777014
"52",-0.0594728798994149
"53",-1.62804637184126
"54",-0.34528511535591
"55",1.44433626646152
"56",1.09428096643801
"57",2.57252942801918
"58",1.27521763152693
"59",2.00533575707173
"60",0.850890118438705
"61",-0.570300550245274
"62",1.26620541638931
"63",0.309597890104428
"64",0.0112197447207302
"65",-1.2048113241039
"66",1.0419885645043
"67",0.969224237302708
"68",2.80848229558038
"69",1.62474592184948
"70",0.40859633833733
"71",0.10651172891062
"72",0.0218307166823846
"73",-0.535703814418407
"74",-0.407742218104557
"75",0.204621807672497
"76",-0.382285945531905
"77",-1.25474578350006
"78",-0.199444056799455
"79",2.21574509347771
"80",2.56814469389475
"81",2.70156800322354
"82",1.79039620253825
"83",0.285128027865898
"84",0.800601998635086
"85",1.97150858993571
"86",-0.624395053992598
"87",0.321061774875719
"88",-1.15601118844233
"89",-2.09930028451761
"90",-2.30963318144008
"91",-0.0887383025177252
"92",0.457998776860563
"93",1.21571033210746
"94",0.759926050910352
"95",0.849641112343611
"96",0.515774132527857
"97",0.318938833391917
"98",-0.36334506358
"99",-0.61861052672857
"100",-1.31324571758352
"101",-2.78887903713826
"102",-2.65558485789643
"103",-2.75639484157892
"104",-0.753839464467204
"105",-0.531478440417819
"106",-0.398107256705823
"107",0.0958587214230516
"108",0.931210876435716
"109",-0.346203980760461
"110",-1.4051360364978
"111",-0.972158907825345
"112",-2.42715729163141
"113",-3.09393909740875
"114",-2.63696392260264
"115",-4.35954241192284
"116",-1.15134983377236
"117",0.111734234410446
"118",1.58368046910849
"119",0.876959949920673
"120",1.65372750889425
"121",0.0910398059689485
"122",-0.582255218605699
"123",-0.921392367958571
"124",-2.89313152136926
"125",-2.90326182602466
"126",-2.72055255884195
"127",-3.6473011960993
"128",-0.918768171356109
"129",-0.273916316025576
"130",-0.297616564942644
"131",-0.502081476732851
"132",-0.835754849696112
"133",-2.56681964647416
"134",-1.82020159199958
"135",0.140477045347144
"136",-0.0206458854736969
"137",-1.36609269311697
"138",-0.447085445754041
"139",-2.36025307305278
"140",0.455650494978071
"141",1.77091684904353
"142",0.977427345102553
"143",0.573866948373959
"144",-1.18353035256895
"145",-0.0230864693823445
"146",-0.786492247373475
"147",-0.406935245027901
"148",-1.86844302895902
"149",-1.78717337818495
"150",-1.80375428594736
"151",-2.13730672618841
"152",-1.35472620480492
"153",0.224137006395605
"154",1.95584585129449
"155",0.998760246252775
"156",0.444096745398308
"157",0.298042152219071
"158",0.45703519255592
"159",-1.09984802772693
"160",-1.06720323528068
"161",-1.57783040735594
"162",-1.68886331822111
"163",-0.890090590332791
"164",-1.07828082822225
"165",-0.769297328839993
"166",-0.828159861016156
"167",0.590174262109877
"168",-0.0812089011803024
"169",-0.0107341122595333
"170",-0.5487811619453
"171",-2.58311036982795
"172",-1.21447100650487
"173",-2.03292653849863
"174",-1.30611927728854
"175",0.382691532430181
"176",0.398000250968711
"177",0.479916390974968
"178",1.07772245365506
"179",0.637068870187553
"180",0.515372440653421
"181",0.76018640971548
"182",-0.0157145973760336
"183",-2.23337776976283
"184",-1.02919551258202
"185",-0.0875930031388121
"186",-0.413720264850073
"187",-1.53142143799237
"188",-0.00930970506067252
"189",-1.69936666690146
"190",-1.09451240395344
"191",-0.736002438563135
"192",-1.79946131161804
"193",-0.532749273771279
"194",0.134280394449342
"195",-0.791092760057424
"196",-1.8174791692155
"197",-0.895974026559323
"198",-0.291185301406588
"199",-0.433561742368327
"200",1.61376814661032
